14.23,1.71,2.43,15.60,127.00,2.80,3.06,0.28,2.29,5.64,1.04,3.92,1065,0
13.20,1.78,2.14,11.20,100.00,2.65,2.76,0.26,1.28,4.38,1.05,3.40,1050,0
13.16,2.36,2.67,18.60,101.00,2.80,3.24,0.30,2.81,5.68,1.03,3.17,1185,0
14.37,1.95,2.50,16.80,113.00,3.85,3.49,0.24,2.18,7.80,0.86,3.45,1480,0
13.24,2.59,2.87,21.00,118.00,2.80,2.69,0.39,1.82,4.32,1.04,2.93,735,0
14.20,1.76,2.45,15.20,112.00,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,0
14.39,1.87,2.45,14.60,96.00,2.50,2.52,0.30,1.98,5.25,1.02,3.58,1290,0
14.06,2.15,2.61,17.60,121.00,2.60,2.51,0.31,1.25,5.05,1.06,3.58,1295,0
14.83,1.64,2.17,14.00,97.00,2.80,2.98,0.29,1.98,5.20,1.08,2.85,1045,0
13.86,1.35,2.27,16.00,98.00,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,0
14.10,2.16,2.30,18.00,105.00,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,0
14.12,1.48,2.32,16.80,95.00,2.20,2.43,0.26,1.57,5.00,1.17,2.82,1280,0
13.75,1.73,2.41,16.00,89.00,2.60,2.76,0.29,1.81,5.60,1.15,2.90,1320,0
14.75,1.73,2.39,11.40,91.00,3.10,3.69,0.43,2.81,5.40,1.25,2.73,1150,0
14.38,1.87,2.38,12.00,102.00,3.30,3.64,0.29,2.96,7.50,1.20,3.00,1547,0
13.63,1.81,2.70,17.20,112.00,2.85,2.91,0.30,1.46,7.30,1.28,2.88,1310,0
14.30,1.92,2.72,20.00,120.00,2.80,3.14,0.33,1.97,6.20,1.07,2.65,1280,0
13.83,1.57,2.62,20.00,115.00,2.95,3.40,0.40,1.72,6.60,1.13,2.57,1130,0
14.19,1.59,2.48,16.50,108.00,3.30,3.93,0.32,1.86,8.70,1.23,2.82,1680,0
13.64,3.10,2.56,15.20,116.00,2.70,3.03,0.17,1.66,5.10,0.96,3.36,845,0
14.06,1.63,2.28,16.00,126.00,3.00,3.17,0.24,2.10,5.65,1.09,3.71,780,0
12.93,3.80,2.65,18.60,102.00,2.41,2.41,0.25,1.98,4.50,1.03,3.52,770,0
13.71,1.86,2.36,16.60,101.00,2.61,2.88,0.27,1.69,3.80,1.11,4.00,1035,0
12.85,1.60,2.52,17.80,95.00,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,0
13.50,1.81,2.61,20.00,96.00,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,0
13.05,2.05,3.22,25.00,124.00,2.63,2.68,0.47,1.92,3.58,1.13,3.20,830,0
13.39,1.77,2.62,16.10,93.00,2.85,2.94,0.34,1.45,4.80,0.92,3.22,1195,0
13.30,1.72,2.14,17.00,94.00,2.40,2.19,0.27,1.35,3.95,1.02,2.77,1285,0
13.87,1.90,2.80,19.40,107.00,2.95,2.97,0.37,1.76,4.50,1.25,3.40,915,0
14.02,1.68,2.21,16.00,96.00,2.65,2.33,0.26,1.98,4.70,1.04,3.59,1035,0
13.73,1.50,2.70,22.50,101.00,3.00,3.25,0.29,2.38,5.70,1.19,2.71,1285,0
13.58,1.66,2.36,19.10,106.00,2.86,3.19,0.22,1.95,6.90,1.09,2.88,1515,0
13.68,1.83,2.36,17.20,104.00,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,0
13.76,1.53,2.70,19.50,132.00,2.95,2.74,0.50,1.35,5.40,1.25,3.00,1235,0
13.51,1.80,2.65,19.00,110.00,2.35,2.53,0.29,1.54,4.20,1.10,2.87,1095,0
13.48,1.81,2.41,20.50,100.00,2.70,2.98,0.26,1.86,5.10,1.04,3.47,920,0
13.28,1.64,2.84,15.50,110.00,2.60,2.68,0.34,1.36,4.60,1.09,2.78,880,0
13.05,1.65,2.55,18.00,98.00,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,0
13.07,1.50,2.10,15.50,98.00,2.40,2.64,0.28,1.37,3.70,1.18,2.69,1020,0
14.22,3.99,2.51,13.20,128.00,3.00,3.04,0.20,2.08,5.10,0.89,3.53,760,0
13.56,1.71,2.31,16.20,117.00,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,0
13.41,3.84,2.12,18.80,90.00,2.45,2.68,0.27,1.48,4.28,0.91,3.00,1035,0
13.88,1.89,2.59,15.00,101.00,3.25,3.56,0.17,1.70,5.43,0.88,3.56,1095,0
13.24,3.98,2.29,17.50,103.00,2.64,2.63,0.32,1.66,4.36,0.82,3.00,680,0
